Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'
* Warning: component 'L402': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L403': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L404': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L401': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L203': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L1101': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L1102': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L603': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L901': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'L202': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

* Warning: component 'JX801': board footprint 'HEADER_3X01_SMD_H_BOARD_EDGE_SHORT', netlist footprint 'PIXHAWK2_HEADER_3X01_SMD_H_BOARD_EDGE_SHORT'

* Warning: component 'JX802': board footprint 'FTSH-105-01-XXX-DV-K', netlist footprint 'PIXHAWK2_FTSH-105-01-XXX-DV-K'

* Warning: component 'JX301': board footprint 'FTSH-105-01-XXX-DV-K', netlist footprint 'PIXHAWK2_FTSH-105-01-XXX-DV-K'

* Warning: component 'JP2': board footprint 'FIDUCIAL-1.5X3', netlist footprint 'PIXHAWK2_FIDUCIAL-1.5X3'

* Warning: component 'JP1': board footprint 'FIDUCIAL-1.5X3', netlist footprint 'PIXHAWK2_FIDUCIAL-1.5X3'

* Warning: component 'S601': board footprint 'EVQP7J01K', netlist footprint 'PIXHAWK2_EVQP7J01K'

* Warning: component 'S801': board footprint 'EVQP7J01K', netlist footprint 'PIXHAWK2_EVQP7J01K'

* Warning: component 'U703': board footprint '6-PLCC', netlist footprint 'PIXHAWK2_6-PLCC'

* Warning: component 'X503': board footprint '51281-1094', netlist footprint 'PIXHAWK2_51281-1094'

* Warning: component 'J901': board footprint '3X16RA', netlist footprint 'PIXHAWK2_3X16RA'

* Warning: component 'C618': board footprint '1206-CAP', netlist footprint 'PIXHAWK2_1206-CAP'

* Warning: component 'C614': board footprint '1206-CAP', netlist footprint 'PIXHAWK2_1206-CAP'

* Warning: component 'C1104': board footprint '1206-CAP', netlist footprint 'PIXHAWK2_1206-CAP'

* Warning: component 'U1102': board footprint '1206-8', netlist footprint 'PIXHAWK2_1206-8'

* Warning: component 'U1104': board footprint '1206-8', netlist footprint 'PIXHAWK2_1206-8'

* Warning: component 'U1103': board footprint '1206-8', netlist footprint 'PIXHAWK2_1206-8'

* Warning: component 'L701': board footprint '0805-IND', netlist footprint 'PIXHAWK2_0805-IND'

* Warning: component 'C501': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C511': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C601': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C509': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C1103': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C1102': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C1101': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C604': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C605': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

